player_id,player_name_last_first,season,team_abbrev,pitch_hand,num_pitches,four_seam_speed,four_seam_spin,four_seam_pct,sinker_speed,sinker_spin,sinker_pct,cutter_speed,cutter_spin,cutter_pct,slider_speed,slider_spin,slider_pct,change_up_speed,change_up_spin,change_up_pct,curve_speed,curve_spin,curve_pct,splitter_speed,splitter_spin,splitter_pct,plate_appearances
656876,"Rasmussen, Drew",2020,MIL,R,302,97.6,2454,0.682119205,NULL,NULL,0,NULL,NULL,0,86.8,2725,0.175496689,89.7,1740,0.039735099,81.7,2715,0.102649007,NULL,NULL,0,71
656887,"Reid-Foley, Sean",2020,TOR,R,133,94.4,2149,0.631578947,NULL,NULL,0,NULL,NULL,0,85.9,2223,0.308270677,86.3,1422,0.060150376,NULL,NULL,0,NULL,NULL,0,30
656913,"Romero, Seth",2020,WSH,L,66,91.7,2082,0.424242424,NULL,NULL,0,NULL,NULL,0,81.7,2117,0.378787879,83.8,2096,0.196969697,NULL,NULL,0,NULL,NULL,0,18
656945,"Scott, Tanner",2020,BAL,L,345,96.5,2657,0.594202899,96.8,2586,0.017391304,NULL,NULL,0,88.3,2778,0.388405797,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,86
656954,"Sheffield, Justus",2020,SEA,L,880,92.5,1917,0.009090909,91.9,1941,0.469318182,NULL,NULL,0,81.8,2503,0.335227273,86.3,1725,0.186363636,NULL,NULL,0,NULL,NULL,0,232
656970,"Smeltzer, Devin",2020,MIN,L,268,87.5,2397,0.332089552,NULL,NULL,0,NULL,NULL,0,77.8,2141,0.167910448,80.6,1855,0.369402985,73.4,2716,0.130597015,NULL,NULL,0,72
656977,"Sobotka, Chad",2020,ATL,R,81,94.3,2570,0.543209877,NULL,NULL,0,89.2,2630,0.074074074,83.3,2956,0.37037037,86.4,2358,0.012345679,NULL,NULL,0,NULL,NULL,0,20
657024,"Swanson, Erik",2020,SEA,R,149,95.6,2280,0.738255034,NULL,NULL,0,NULL,NULL,0,88.1,2336,0.174496644,NULL,NULL,0,NULL,NULL,0,83.9,1297,0.087248322,37
657031,"Taylor, Josh",2020,BOS,L,146,93.6,2282,0.424657534,93.6,2279,0.095890411,NULL,NULL,0,86.4,2289,0.479452055,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,36
657044,"Thompson, Ryan",2020,TB,R,419,92.8,2121,0.090692124,91.1,1900,0.517899761,NULL,NULL,0,76.5,2158,0.38424821,79.5,1262,0.007159905,NULL,NULL,0,NULL,NULL,0,114
657053,"Toussaint, Touki",2020,ATL,R,491,94,2293,0.360488798,92.6,2165,0.050916497,NULL,NULL,0,85.4,2294,0.095723014,NULL,NULL,0,75.7,2528,0.289205703,85.3,1506,0.203665988,120
657097,"Webb, Jacob",2020,ATL,R,168,93.6,2433,0.523809524,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,82.4,2164,0.327380952,80.3,2336,0.148809524,NULL,NULL,0,40
657140,"Wright, Kyle",2020,ATL,R,641,94.7,2434,0.151326053,94,2244,0.332293292,NULL,NULL,0,88.2,2509,0.241809672,87.7,1745,0.143525741,82.1,2738,0.131045242,NULL,NULL,0,168
657141,"Yamamoto, Jordan",2020,MIA,R,270,89.8,2327,0.322222222,90.1,2344,0.081481481,86.2,2611,0.214814815,77.9,2897,0.222222222,81.8,1757,0.014814815,74.2,2732,0.144444444,NULL,NULL,0,67
657240,"Merryweather, Julian",2020,TOR,R,233,96.7,2324,0.570815451,97.2,2339,0.008583691,NULL,NULL,0,85.9,2283,0.150214592,80.6,1363,0.175965665,79.3,2524,0.094420601,NULL,NULL,0,55
657277,"Webb, Logan",2020,SF,R,998,93,2118,0.336673347,91.9,1992,0.149298597,90.5,2364,0.053106212,81.5,2712,0.153306613,84.7,1614,0.30761523,NULL,NULL,0,NULL,NULL,0,246
657376,"Schmidt, Clarke",2020,NYY,R,126,95,2485,0.214285714,94.8,2382,0.325396825,NULL,NULL,0,84.5,3085,0.373015873,89.8,2025,0.087301587,NULL,NULL,0,NULL,NULL,0,33
657571,"Ferguson, Caleb",2020,LAD,L,304,95.5,2267,0.796052632,NULL,NULL,0,86.6,2687,0.203947368,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,75
